amp,frequency,phase,const,period,e_amp,e_frequency,e_phase,tic,stopcrit
1.1350701609783969,9.097249806465848,0.1219321605039078,0.0,0.1099233308168862,0.0939733997756702,0.0001278497761235,0.0827908291542682,141479660,9.493034850298336
1.1271908095419765,7.501053653751672,-0.3973168230523976,0.0,0.1333146043422642,0.0939733997756702,0.000128743478688,0.0833695581796443,141479660,8.731813765567844
1.0696865637127602,18.356723917035648,0.0343373485085969,0.0,0.0544759514017622,0.0939733997756702,0.0001356644748924,0.0878513416579706,141479660,18.059582647699173
1.0593561679200971,19.30001576545257,0.4651942521690427,0.0,0.0518134291781264,0.0939733997756702,0.0001369874177921,0.088708030992234,141479660,16.44280777168538
1.0166829952939258,0.8297981711054695,-0.3841683238623066,0.0,1.205112321069333,0.0939733997756702,0.0001427371822262,0.0924313677032655,141479660,6.14334795535395
0.9473733321447052,1.7109973380893972,-0.3555005830203553,0.0,0.584454445216531,0.0939733997756702,0.0001531798088901,0.0991936299947657,141479660,7.5206380856669055
0.9469784829927544,23.34422573310828,0.1094754810244989,0.0,0.0428371457435718,0.0939733997756702,0.0001532436782586,0.0992349894568715,141479660,20.244667792744703
0.9131180024156318,8.033995414544446,0.4352690360643688,0.0,0.1244710693000443,0.0939733997756702,0.0001589263004142,0.1029148472892505,141479660,6.772994768118155
0.8801940488449096,0.369519934034005,0.0684904319252927,0.0,2.706213949226282,0.0939733997756702,0.0001648709919773,0.1067644116646695,141479660,4.637695793976816
0.8400701806791927,8.850973262927681,-0.1552449013193979,0.0,0.112981925297244,0.0939733997756702,0.0001727456459033,0.1118637489307062,141479660,6.8768507047343865
0.8327224796895089,1.5050770335102956,0.079220371941707,0.0,0.6644178189788047,0.0939733997756702,0.0001742699032451,0.1128508021192239,141479660,6.626020960345935
0.7982069245959732,19.06209097630147,-0.4327782481609471,0.0,0.0524601420297085,0.0939733997756702,0.0001818055713298,0.1177306245786285,141479660,14.160320768943086
0.7895965299064509,0.6280432946560799,-0.4575250794102497,0.0,1.5922469175434883,0.0939733997756702,0.0001837881252882,0.1190144538588637,141479660,4.610664101112794
0.7805805524559551,0.3857018159643726,-0.2015986155895241,0.0,2.5926764111796934,0.0939733997756702,0.0001859109421942,0.1203891122831589,141479660,4.335020856353404
0.7352182209269179,8.166223158071643,-0.1977454686012652,0.0,0.1224556298111424,0.0939733997756702,0.0001973814873394,0.1278170169085232,141479660,5.662799065523871
0.7036379186595338,9.235620881376068,-0.0182980011012437,0.0,0.1082764237341674,0.0939733997756702,0.0002062402581174,0.1335536321787409,141479660,6.739108848727418
0.6965177577650015,16.986010685393296,0.195798677106583,0.0,0.0588719752107494,0.0939733997756702,0.0002083485515591,0.1349188857398463,141479660,14.35292393343694
0.6952963302599063,18.81112364891436,0.3421744817839589,0.0,0.0531600354483722,0.0939733997756702,0.000208714557592,0.1351558978321406,141479660,13.621371810051684
0.6896667335186064,3.1167007873275234,0.4791446992018138,0.0,0.320852102346812,0.0939733997756702,0.0002104182482823,0.1362591454806409,141479660,8.776826224114512
0.6508282291665751,20.18299276137521,-0.3204569425324637,0.0,0.049546665939143,0.0939733997756702,0.0002229750638681,0.1443904790300949,141479660,13.752158540886777
0.6100058916904921,3.513209648519738,-0.3629480787869075,0.0,0.28464000160689,0.0939733997756702,0.0002378968268051,0.1540532658057521,141479660,9.351482733632002
0.599791367966887,18.425602130789464,-0.1977675436889845,0.0,0.0542723105004522,0.0939733997756702,0.000241948240198,0.1566768126293845,141479660,12.810701163347176
0.5986108134435593,0.4147112691065093,0.2931252700320409,0.0,2.4113161963370047,0.0939733997756702,0.0002424254001206,0.1569858039066823,141479660,3.4195101052803825
